country_code,country_name,indicator_name,indicator_code,year,value,source_url,fetch_ts
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2014,10.0702154687481,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227297
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2013,9.4697198106492,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227308
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2012,7.11172943343082,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227318
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2011,10.0649259874818,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227328
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2010,11.2651882653185,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227339
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2009,11.7634954386443,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227360
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2008,18.3168316831684,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227370
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2007,9.31896905799229,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227381
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2006,7.64452644526434,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227391
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2005,4.86939696871988,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227402
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2004,11.2706193320519,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227412
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2003,4.50777636319303,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227422
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2002,2.73723855000334,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227432
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2001,2.26975720475955,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227443
EGY,"Egypt, Arab Rep.",INFLATION,FP.CPI.TOTL.ZG,2000,2.68380535348546,https://api.worldbank.org/v2/country/EGY/indicator/FP.CPI.TOTL.ZG?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.227456
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2023,114535772.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.260982
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2022,112618250.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261040
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2021,110957008.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261055
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2020,109315124.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261066
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2019,107553158.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261077
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2018,105682094.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261088
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2017,103696057.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261098
